"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\.github\workflows\vite-build.yaml", "YAML", 0, 0, 0, 0, 0, 0, 42, 3, 11, 56
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\auth.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 9, 11, 109
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\chat-list.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 31, 14, 102
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\chat-list.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 1, 5, 60
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\chat-view.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 5, 14, 79
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\chat-view.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 19, 29, 183
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\css\chat.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 1, 14, 109
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\css\dashboard.css", "CSS", 0, 0, 0, 0, 170, 0, 0, 0, 23, 193
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\css\login.css", "CSS", 0, 0, 0, 0, 117, 0, 0, 0, 8, 125
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\css\product-detail.css", "CSS", 0, 0, 0, 0, 470, 0, 0, 1, 27, 498
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\css\productPage.css", "CSS", 0, 0, 0, 0, 614, 0, 0, 1, 43, 658
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\css\styles.css", "CSS", 0, 0, 0, 0, 677, 0, 0, 22, 84, 783
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\dashboard.html", "HTML", 66, 0, 0, 0, 0, 0, 0, 5, 12, 83
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\dashboard.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 5, 5, 58
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\firebase.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\index.html", "HTML", 236, 0, 0, 0, 0, 0, 0, 5, 19, 260
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\login.html", "HTML", 81, 0, 0, 0, 0, 0, 0, 5, 14, 100
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\login.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 5, 6, 61
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 32, 54
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\product-detail.html", "HTML", 151, 0, 0, 0, 0, 0, 0, 5, 14, 170
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\product-detail.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 3, 6, 98
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\product-page.js", "JavaScript", 0, 0, 311, 0, 0, 0, 0, 14, 27, 352
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\productPage.html", "HTML", 187, 0, 0, 0, 0, 0, 0, 5, 21, 213
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\products.json", "JSON", 0, 0, 0, 184, 0, 0, 0, 0, 1, 185
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\ChatTeardropDots.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\caret-right.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\cross.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\explore-icon.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\favicon\site.webmanifest", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\gold-star.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\google.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\hamburger-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\menu-01.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\profile-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\sell-icon.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\star-02.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\test.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\public\tick.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\rewards.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 5, 13, 53
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\script.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 3, 2, 34
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\services.js", "JavaScript", 0, 0, 279, 0, 0, 0, 0, 23, 37, 339
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\three.js", "JavaScript", 0, 0, 156, 0, 0, 0, 0, 19, 30, 205
"c:\Users\ooijs\Documents\development\FED-Assg2-Mokesell\vite.config.mjs", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"Total", "-", 873, 6, 1286, 208, 2142, 79, 42, 196, 544, 5376